country,year,item,r,n,survey,cc_rank
South Korea,1994,strong5a,1,198,kobar1994,446
South Korea,1994,strong5a,2,282,kobar1994,446
South Korea,1994,strong5a,3,428,kobar1994,446
South Korea,1994,strong5a,4,357,kobar1994,446
South Korea,1994,strong5a,5,215,kobar1994,446
South Korea,1994,suitable10,1,11,kobar1994,446
South Korea,1994,suitable10,2,11,kobar1994,446
South Korea,1994,suitable10,3,42,kobar1994,446
South Korea,1994,suitable10,4,80,kobar1994,446
South Korea,1994,suitable10,5,161,kobar1994,446
South Korea,1994,suitable10,6,264,kobar1994,446
South Korea,1994,suitable10,7,335,kobar1994,446
South Korea,1994,suitable10,8,303,kobar1994,446
South Korea,1994,suitable10,9,153,kobar1994,446
South Korea,1994,suitable10,10,53,kobar1994,446
South Korea,1996,army4,1,9,wvs_combo,446
South Korea,1996,army4,2,54,wvs_combo,446
South Korea,1996,army4,3,240,wvs_combo,446
South Korea,1996,army4,4,933,wvs_combo,446
South Korea,1996,church4,1,18,wvs_combo,446
South Korea,1996,church4,2,86,wvs_combo,446
South Korea,1996,church4,3,734,wvs_combo,446
South Korea,1996,church4,4,399,wvs_combo,446
South Korea,1996,dem_good4a,1,45,wvs_combo,446
South Korea,1996,dem_good4a,2,145,wvs_combo,446
South Korea,1996,dem_good4a,3,488,wvs_combo,446
South Korea,1996,dem_good4a,4,557,wvs_combo,446
South Korea,1996,strong4b,1,112,wvs_combo,446
South Korea,1996,strong4b,2,283,wvs_combo,446
South Korea,1996,strong4b,3,412,wvs_combo,446
South Korea,1996,strong4b,4,435,wvs_combo,446
South Korea,1996,suitable10,1,10,kobar1996,446
South Korea,1996,suitable10,2,6,kobar1996,446
South Korea,1996,suitable10,3,28,kobar1996,446
South Korea,1996,suitable10,4,36,kobar1996,446
South Korea,1996,suitable10,5,171,kobar1996,446
South Korea,1996,suitable10,6,166,kobar1996,446
South Korea,1996,suitable10,7,210,kobar1996,446
South Korea,1996,suitable10,8,191,kobar1996,446
South Korea,1996,suitable10,9,61,kobar1996,446
South Korea,1996,suitable10,10,69,kobar1996,446
South Korea,1996,threestate_231,1,174,kobar1996,446
South Korea,1996,threestate_231,2,102,kobar1996,446
South Korea,1996,threestate_231,3,649,kobar1996,446
South Korea,1997,army4a,1,19,kobar1997,446
South Korea,1997,army4a,2,149,kobar1997,446
South Korea,1997,army4a,3,221,kobar1997,446
South Korea,1997,army4a,4,720,kobar1997,446
South Korea,1997,strong4a,1,49,kobar1997,446
South Korea,1997,strong4a,2,164,kobar1997,446
South Korea,1997,strong4a,3,317,kobar1997,446
South Korea,1997,strong4a,4,571,kobar1997,446
South Korea,1997,suitable10,1,8,kobar1997,446
South Korea,1997,suitable10,2,11,kobar1997,446
South Korea,1997,suitable10,3,43,kobar1997,446
South Korea,1997,suitable10,4,114,kobar1997,446
South Korea,1997,suitable10,5,220,kobar1997,446
South Korea,1997,suitable10,6,181,kobar1997,446
South Korea,1997,suitable10,7,246,kobar1997,446
South Korea,1997,suitable10,8,184,kobar1997,446
South Korea,1997,suitable10,9,58,kobar1997,446
South Korea,1997,suitable10,10,37,kobar1997,446
South Korea,1997,threestate_231,1,229,kobar1997,446
South Korea,1997,threestate_231,2,120,kobar1997,446
South Korea,1997,threestate_231,3,764,kobar1997,446
South Korea,1998,army4a,1,26,kobar1998,446
South Korea,1998,army4a,2,115,kobar1998,446
South Korea,1998,army4a,3,284,kobar1998,446
South Korea,1998,army4a,4,579,kobar1998,446
South Korea,1998,strong4a,1,63,kobar1998,446
South Korea,1998,strong4a,2,179,kobar1998,446
South Korea,1998,strong4a,3,312,kobar1998,446
South Korea,1998,strong4a,4,450,kobar1998,446
South Korea,1998,suitable10,1,8,kobar1998,446
South Korea,1998,suitable10,2,14,kobar1998,446
South Korea,1998,suitable10,3,35,kobar1998,446
South Korea,1998,suitable10,4,67,kobar1998,446
South Korea,1998,suitable10,5,248,kobar1998,446
South Korea,1998,suitable10,6,231,kobar1998,446
South Korea,1998,suitable10,7,201,kobar1998,446
South Korea,1998,suitable10,8,141,kobar1998,446
South Korea,1998,suitable10,9,43,kobar1998,446
